species,gene_name,ensembl_id
Homo sapiens,MX1,ENSG00000157601
Homo sapiens,OASL,ENSG00000135114
Homo sapiens,GBP4,ENSG00000162654
Homo sapiens,CMPK2,ENSG00000134326
Homo sapiens,IFI44L,ENSG00000137959
Homo sapiens,IFIT3,ENSG00000119917
Homo sapiens,TNFSF10,ENSG00000121858
Homo sapiens,OAS1,ENSG00000089127
Homo sapiens,USP18,ENSG00000184979
Homo sapiens,IFIH1,ENSG00000115267
Homo sapiens,GBP7,ENSG00000213512
Homo sapiens,IFIT1B,ENSG00000204010
Homo sapiens,GBP5,ENSG00000154451
Homo sapiens,DDX58,ENSG00000107201
Homo sapiens,ISG15,ENSG00000187608
Homo sapiens,RTP4,ENSG00000136514
Homo sapiens,HERC6,ENSG00000138642
Homo sapiens,ZMYND15,ENSG00000141497
Homo sapiens,CD274,ENSG00000120217
Homo sapiens,SAMD9L,ENSG00000177409
Homo sapiens,HELZ2,ENSG00000130589
Homo sapiens,IFI44,ENSG00000137965
Homo sapiens,TLR3,ENSG00000164342
Homo sapiens,CIITA,ENSG00000179583
Homo sapiens,ISG20,ENSG00000172183
Homo sapiens,PARP14,ENSG00000173193
Homo sapiens,XAF1,ENSG00000132530
Homo sapiens,IRF7,ENSG00000185507
Homo sapiens,APOL2,ENSG00000128335
Homo sapiens,SAMD9,ENSG00000205413
Homo sapiens,APOL3,ENSG00000128284
Homo sapiens,IL15RA,ENSG00000134470
Homo sapiens,BST2,ENSG00000130303
Homo sapiens,SLFN12L,ENSG00000205045
Homo sapiens,LGALS9,ENSG00000168961
Homo sapiens,TAP1,ENSG00000168394
Homo sapiens,TRIM14,ENSG00000106785
Homo sapiens,PARP12,ENSG00000059378
Homo sapiens,WARS,ENSG00000140105
Homo sapiens,HSH2D,ENSG00000196684
Homo sapiens,IFI35,ENSG00000068079
Homo sapiens,SP110,ENSG00000135899
Homo sapiens,SAMHD1,ENSG00000101347
Homo sapiens,CXCL16,ENSG00000161921
Homo sapiens,PARP9,ENSG00000138496
Homo sapiens,GCH1,ENSG00000131979
Homo sapiens,RNF213,ENSG00000173821
Homo sapiens,DHX58,ENSG00000108771
Homo sapiens,IL18BP,ENSG00000137496
Homo sapiens,CCL7,ENSG00000108688
Homo sapiens,TMEM140,ENSG00000146859
Homo sapiens,DDX60,ENSG00000137628
Homo sapiens,PNPT1,ENSG00000138035
Homo sapiens,SOCS1,ENSG00000185338
Homo sapiens,MLKL,ENSG00000168404
Homo sapiens,IRF1,ENSG00000125347
Homo sapiens,APOL1,ENSG00000100342
Homo sapiens,DTX3L,ENSG00000163840
Homo sapiens,TDRD7,ENSG00000196116
Homo sapiens,GBP2,ENSG00000162645
Homo sapiens,LMO2,ENSG00000135363
Homo sapiens,PDZD2,ENSG00000133401
Homo sapiens,ATF3,ENSG00000162772
Homo sapiens,TRIM21,ENSG00000132109
Homo sapiens,CYP2J2,ENSG00000134716
Homo sapiens,PSMB9,ENSG00000240065
Homo sapiens,MYD88,ENSG00000172936
Homo sapiens,NLRC5,ENSG00000140853
Homo sapiens,TMEM229B,ENSG00000198133
Homo sapiens,NMI,ENSG00000123609
Homo sapiens,PLEKHA4,ENSG00000105559
Homo sapiens,TRIM69,ENSG00000185880
Homo sapiens,APOL4,ENSG00000100336
Homo sapiens,TAP2,ENSG00000204267
Homo sapiens,SERPINB9,ENSG00000170542
Homo sapiens,HLA-F,ENSG00000204642
Homo sapiens,SPTBN5,ENSG00000137877
Homo sapiens,TREX1,ENSG00000213689
Homo sapiens,GALNT3,ENSG00000115339
Homo sapiens,ZC3HAV1,ENSG00000105939
Homo sapiens,IFITM1,ENSG00000185885
Homo sapiens,TRIM5,ENSG00000132256
Homo sapiens,ZNFX1,ENSG00000124201
Homo sapiens,SLFN13,ENSG00000154760
Homo sapiens,EIF2AK2,ENSG00000055332
Homo sapiens,C19orf66,ENSG00000130813
Homo sapiens,CCL2,ENSG00000108691
Homo sapiens,PARP10,ENSG00000178685
Homo sapiens,SLC25A28,ENSG00000155287
Homo sapiens,ICAM1,ENSG00000090339
Homo sapiens,IRF2,ENSG00000168310
Homo sapiens,ZCCHC2,ENSG00000141664
Homo sapiens,IFI27,ENSG00000165949
Homo sapiens,RNF19B,ENSG00000116514
Homo sapiens,IFI16,ENSG00000163565
Homo sapiens,SLC2A12,ENSG00000146411
Homo sapiens,SLC6A9,ENSG00000196517
Homo sapiens,RAB20,ENSG00000139832
Homo sapiens,B3GALNT1,ENSG00000169255
Homo sapiens,PML,ENSG00000140464
